iter	Passed	Remaining
602	1560	1027
603	1562	1024
604	1563	1020
605	1564	1017
606	1566	1014
607	1567	1010
608	1568	1007
609	1569	1003
610	1571	1000
611	1572	996
612	1573	993
613	1574	989
614	1575	986
615	1577	983
616	1578	979
617	1579	976
618	1581	973
619	1582	969
620	1583	966
621	1585	963
622	1586	959
623	1587	956
624	1588	953
625	1589	949
626	1590	946
627	1592	943
628	1593	939
629	1594	936
630	1596	933
631	1597	930
632	1598	926
633	1599	923
634	1601	920
635	1602	917
636	1603	913
637	1604	910
638	1606	907
639	1607	904
640	1608	901
641	1610	897
642	1611	894
643	1612	891
644	1613	888
645	1615	885
646	1616	881
647	1617	878
648	1618	875
649	1620	872
650	1621	869
651	1622	865
652	1624	863
653	1625	859
654	1626	856
655	1628	853
656	1629	850
657	1630	847
658	1632	844
659	1633	841
660	1634	838
661	1635	835
662	1637	832
663	1638	829
664	1639	826
665	1641	823
666	1642	819
667	1643	816
668	1644	813
669	1646	810
670	1647	807
671	1648	804
672	1649	801
673	1651	798
674	1652	795
675	1654	792
676	1655	789
677	1656	786
678	1658	783
679	1659	780
680	1660	777
681	1661	774
682	1662	771
683	1664	768
684	1665	765
685	1666	762
686	1668	759
687	1669	757
688	1670	754
689	1671	751
690	1673	748
691	1674	745
692	1675	742
693	1676	739
694	1678	736
695	1679	733
696	1680	730
697	1681	727
698	1683	724
699	1684	721
700	1685	719
701	1687	716
702	1688	713
703	1689	710
704	1690	707
705	1691	704
706	1692	701
707	1694	698
708	1695	695
709	1696	692
710	1698	690
711	1699	687
712	1700	684
713	1701	681
714	1702	678
715	1704	675
716	1705	673
717	1706	670
718	1707	667
719	1709	664
720	1710	661
721	1711	659
722	1713	656
723	1714	653
724	1715	650
725	1716	648
726	1718	645
727	1719	642
728	1720	639
729	1722	636
730	1723	634
731	1724	631
732	1725	628
733	1727	625
734	1728	623
735	1729	620
736	1731	617
737	1732	615
738	1733	612
739	1735	609
740	1736	606
741	1738	604
742	1739	601
743	1740	598
744	1742	596
745	1743	593
746	1745	591
747	1746	588
748	1748	585
749	1749	583
750	1750	580
751	1752	577
752	1753	575
753	1754	572
754	1756	570
755	1757	567
756	1759	564
757	1760	562
758	1762	559
759	1763	556
760	1764	554
761	1766	551
762	1767	549
763	1769	546
764	1770	543
765	1772	541
766	1773	538
767	1774	536
768	1776	533
769	1777	530
770	1778	528
771	1780	525
772	1781	523
773	1782	520
774	1783	517
775	1784	515
776	1786	512
777	1787	510
778	1788	507
779	1790	504
780	1791	502
781	1792	499
782	1793	497
783	1794	494
784	1796	491
785	1797	489
786	1798	486
787	1800	484
788	1801	481
789	1802	479
790	1804	476
791	1805	474
792	1806	471
793	1807	469
794	1808	466
795	1810	463
796	1811	461
797	1812	458
798	1813	456
799	1815	453
800	1816	451
801	1817	448
802	1819	446
803	1820	443
804	1821	441
805	1822	438
806	1824	436
807	1825	433
808	1826	431
809	1827	428
810	1829	426
811	1830	423
812	1831	421
813	1833	418
814	1834	416
815	1836	414
816	1837	411
817	1838	408
818	1839	406
819	1840	404
820	1841	401
821	1843	399
822	1844	396
823	1846	394
824	1847	391
825	1848	389
826	1849	386
827	1850	384
828	1852	382
829	1853	379
830	1855	377
831	1856	374
832	1857	372
833	1858	370
834	1860	367
835	1861	365
836	1862	362
837	1863	360
838	1865	357
839	1866	355
840	1867	353
841	1869	350
842	1870	348
843	1871	345
844	1873	343
845	1874	341
846	1875	338
847	1876	336
848	1878	334
849	1879	331
850	1880	329
851	1881	326
852	1882	324
853	1884	322
854	1885	319
855	1886	317
856	1887	315
857	1889	312
858	1890	310
859	1891	307
860	1892	305
861	1894	303
862	1895	300
863	1896	298
864	1897	296
865	1899	293
866	1900	291
867	1901	289
868	1902	286
869	1904	284
870	1905	282
871	1906	279
872	1907	277
873	1909	275
874	1910	272
875	1911	270
876	1913	268
877	1914	265
878	1915	263
879	1916	261
880	1918	259
881	1919	256
882	1920	254
883	1921	252
884	1923	249
885	1924	247
886	1925	245
887	1926	243
888	1928	240
889	1929	238
890	1930	236
891	1932	233
892	1933	231
893	1934	229
894	1936	227
895	1937	224
896	1938	222
897	1940	220
898	1941	218
899	1942	215
900	1943	213
901	1944	211
902	1946	209
903	1948	206
904	1949	204
905	1950	202
906	1952	200
907	1953	197
908	1955	195
909	1956	193
910	1958	191
911	1959	189
912	1960	186
913	1962	184
914	1963	182
915	1965	180
916	1966	177
917	1967	175
918	1969	173
919	1971	171
920	1972	169
921	1974	166
922	1975	164
923	1977	162
924	1978	160
925	1979	158
926	1981	156
927	1982	153
928	1983	151
929	1984	149
930	1986	147
931	1987	145
932	1989	142
933	1990	140
934	1991	138
935	1992	136
936	1994	134
937	1995	131
938	1996	129
939	1997	127
940	1998	125
941	2000	123
942	2001	120
943	2002	118
944	2003	116
945	2005	114
946	2006	112
947	2007	110
948	2009	107
949	2010	105
950	2011	103
951	2012	101
952	2013	99
953	2015	97
954	2016	95
955	2018	92
956	2019	90
957	2020	88
958	2021	86
959	2023	84
960	2024	82
961	2026	80
962	2027	77
963	2028	75
964	2029	73
965	2031	71
966	2032	69
967	2033	67
968	2034	65
969	2036	62
970	2037	60
971	2038	58
972	2039	56
973	2041	54
974	2042	52
975	2043	50
976	2045	48
977	2046	46
978	2047	43
979	2048	41
980	2050	39
981	2051	37
982	2052	35
983	2053	33
984	2055	31
985	2056	29
986	2057	27
987	2059	25
988	2060	22
989	2061	20
990	2062	18
991	2064	16
992	2065	14
993	2066	12
994	2068	10
995	2069	8
996	2070	6
997	2071	4
998	2073	2
999	2074	0
